,user,num_of_hits,total_seconds
675,180.72.119.221,2,4.0
676,180.72.139.191,1,0.0
677,180.72.143.175,2,1.0
678,180.72.159.66,2,3.0
679,180.72.183.241,53,345.0
680,180.72.255.83,2,2.0
681,180.73.20.183,1,0.0
682,180.73.200.197,1,0.0
683,180.74.136.191,1,0.0
684,180.74.14.50,75,1788.0
685,180.74.194.16,1,0.0
686,180.75.109.18,13,12.0
687,180.75.53.59,1,0.0
688,183.171.100.207,1,0.0
689,183.171.100.99,1,0.0
690,183.171.106.76,1,0.0
691,183.171.107.19,1,0.0
692,183.171.107.39,2,25.0
693,183.171.108.235,1,0.0
694,183.171.112.238,1,0.0
695,183.171.113.52,1,0.0
696,183.171.115.103,1,0.0
697,183.171.115.223,1,0.0
698,183.171.116.102,1,0.0
699,183.171.116.67,1,0.0
700,183.171.117.140,1,0.0
701,183.171.117.150,1,0.0
702,183.171.117.196,1,0.0
703,183.171.117.216,1,0.0
704,183.171.117.239,1,0.0
705,183.171.117.3,1,0.0
706,183.171.117.9,1,0.0
707,183.171.118.120,1,0.0
708,183.171.118.20,1,0.0
709,183.171.118.46,1,0.0
710,183.171.119.52,1,0.0
711,183.171.119.64,1,0.0
712,183.171.123.185,1,0.0
713,183.171.124.165,1,0.0
714,183.171.124.242,1,0.0
715,183.171.124.245,1,0.0
716,183.171.124.51,1,0.0
717,183.171.124.64,1,0.0
718,183.171.125.49,1,0.0
719,183.171.126.192,1,0.0
720,183.171.126.47,1,0.0
721,183.171.127.153,1,0.0
722,183.171.127.235,1,0.0
723,183.171.127.6,1,0.0
724,183.171.128.62,3,17.0
725,183.171.129.157,1,0.0
726,183.171.132.140,4,58347.0
727,183.171.132.196,1,0.0
728,183.171.132.198,1,0.0
729,183.171.133.228,1,0.0
730,183.171.134.10,1,0.0
731,183.171.134.152,1,0.0
732,183.171.135.87,1,0.0
733,183.171.142.213,1,0.0
734,183.171.158.123,1,0.0
735,183.171.16.31,1,0.0
736,183.171.18.210,1,0.0
737,183.171.18.234,1,0.0
738,183.171.184.127,2,22360.0
739,183.171.184.129,1,0.0
740,183.171.184.130,1,0.0
741,183.171.184.145,1,0.0
742,183.171.184.156,1,0.0
743,183.171.184.18,1,0.0
744,183.171.184.47,1,0.0
745,183.171.184.55,1,0.0
746,183.171.184.59,1,0.0
747,183.171.184.7,1,0.0
748,183.171.184.96,1,0.0
749,183.171.185.63,105,1051.0
750,183.171.185.67,1,0.0
751,183.171.185.94,1,0.0
752,183.171.185.95,1,0.0
753,183.171.19.156,1,0.0
754,183.171.19.28,1,0.0
755,183.171.19.60,1,0.0
756,183.171.20.135,1,0.0
757,183.171.20.44,1,0.0
758,183.171.20.8,2,12.0
759,183.171.22.89,1,0.0
760,183.171.23.7,1,0.0
761,183.171.23.91,3,6.0
762,183.171.24.37,1,0.0
763,183.171.25.121,1,0.0
764,183.171.25.151,1,0.0
765,183.171.25.178,1,0.0
766,183.171.25.3,1,0.0
767,183.171.26.115,1,0.0
768,183.171.26.148,2,628.0
769,183.171.26.192,1,0.0
770,183.171.27.60,1,0.0
771,183.171.28.174,1,0.0
772,183.171.29.66,1,0.0
773,183.171.30.162,1,0.0
774,183.171.30.198,1,0.0
775,183.171.31.246,1,0.0
776,183.171.64.227,1,0.0
777,183.171.65.132,1,0.0
778,183.171.65.163,2,13.0
779,183.171.65.2,1,0.0
780,183.171.65.233,1,0.0
781,183.171.66.30,1,0.0
782,183.171.67.170,1,0.0
783,183.171.68.125,2,4.0
784,183.171.69.42,1,0.0
785,183.171.70.204,1,0.0
786,183.171.70.211,2,2596.0
787,183.171.71.16,1,0.0
788,183.171.73.89,1,0.0
789,183.171.76.207,1,0.0
790,183.171.77.19,1,0.0
791,183.171.77.190,1,0.0
792,183.171.77.4,1,0.0
793,183.171.77.85,1,0.0
794,183.171.79.62,1,0.0
795,183.171.80.226,1,0.0
796,183.171.81.246,3,42.0
797,183.171.84.38,2,8.0
798,183.171.85.216,1,0.0
799,183.171.87.70,1,0.0
800,183.171.90.71,1,0.0
801,183.171.91.232,1,0.0
802,183.171.95.194,1,0.0
803,183.78.10.16,2,4.0
804,183.78.114.225,53,3841.0
805,183.78.115.163,1,0.0
806,183.78.117.87,1,0.0
807,183.78.118.135,1,0.0
808,183.78.44.46,1,0.0
809,183.78.80.128,1,0.0
