,user,path
39,110.159.79.229,"['quiz', 'login']"
40,111.65.60.147,['quiz']
41,111.65.63.161,['quiz']
42,111.90.140.61,"['quiz', 'login']"
43,111.90.140.69,"['login', 'login', 'login', 'login', 'login', 'dashboard', 'profile', 'dashboard', 'faq', 'scoreboard', 'faq', 'scoreboard', 'profile', 'dashboard', 'dashboard', 'scoreboard', 'scoreboard', 'logout']"
44,111.90.140.69,['login']
45,111.90.141.43,"['quiz', 'login']"
46,113.210.101.149,"['quiz', 'quiz', 'login', 'quiz', 'login']"
47,113.210.101.69,['quiz']
48,113.210.102.99,['quiz']
49,113.210.104.227,['quiz']
50,113.210.105.109,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page']"
51,113.210.105.138,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'login', 'login', 'login', 'dashboard', 'scoreboard', 'dashboard', 'profile', 'profile', 'scoreboard', 'dashboard', 'dashboard', 'faq', 'faq', 'logout']"
52,113.210.105.138,"['login', 'quiz', 'login', 'dashboard', 'login', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'available_rewards']"
53,113.210.105.229,"['quiz', 'login']"
54,113.210.106.202,['quiz']
55,113.210.107.237,['quiz']
56,113.210.107.239,['quiz']
57,113.210.107.29,['quiz']
58,113.210.108.146,['quiz']
59,113.210.108.167,"['quiz', 'quiz']"
60,113.210.108.77,['quiz']
61,113.210.109.131,['quiz']
62,113.210.109.71,['quiz']
63,113.210.110.199,['quiz']
64,113.210.110.58,"['quiz', 'quiz']"
65,113.210.111.125,['quiz']
66,113.210.111.232,['quiz']
67,113.210.111.47,"['quiz', 'login']"
68,113.210.112.152,['quiz']
69,113.210.112.163,['quiz']
70,113.210.112.167,['quiz']
71,113.210.112.29,['quiz']
72,113.210.113.138,['quiz']
73,113.210.113.167,['quiz']
74,113.210.113.89,"['quiz', 'login']"
75,113.210.114.209,['quiz']
76,113.210.115.34,['quiz']
77,113.210.116.243,"['quiz', 'login']"
78,113.210.117.0,['quiz']
79,113.210.117.205,['quiz']
80,113.210.117.210,"['quiz', 'quiz']"
81,113.210.117.56,"['quiz', 'login', 'login', 'login', 'login', 'dashboard', 'profile', 'scoreboard', 'dashboard', 'faq', 'dashboard', 'dashboard', 'scoreboard', 'profile', 'faq', 'dashboard', 'dashboard', 'available_rewards', 'scoreboard', 'scoreboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'quiz', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'dashboard', 'landing_page', 'dashboard', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'login', 'login', 'login', 'login']"
82,113.210.118.230,['quiz']
83,113.210.118.239,['quiz']
84,113.210.118.5,['quiz']
85,113.210.119.125,['quiz']
86,113.210.119.76,['quiz']
87,113.210.119.89,"['login', 'login']"
88,113.210.120.200,"['quiz', 'quiz']"
89,113.210.120.88,"['quiz', 'quiz']"
90,113.210.121.124,['quiz']
91,113.210.121.212,['quiz']
92,113.210.121.229,['quiz']
93,113.210.121.229,['quiz']
94,113.210.121.28,"['login', 'login']"
95,113.210.121.56,['quiz']
96,113.210.121.99,['quiz']
97,113.210.122.133,['quiz']
98,113.210.122.184,"['quiz', 'login']"
99,113.210.122.36,['quiz']
100,113.210.122.54,['quiz']
101,113.210.122.8,['quiz']
102,113.210.123.184,"['quiz', 'login']"
103,113.210.124.123,['quiz']
104,113.210.124.204,['quiz']
105,113.210.125.6,['quiz']
